[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
8344  0x000a47a5 0x100a53a5 6   7    .text   ascii   H$uAHP
8345  0x000a47bb 0x100a53bb 5   7    .text   utf8    $z`dǋ blocks=Basic Latin,Latin Extended-B
8346  0x000a47dc 0x100a53dc 5   6    .text   ascii   Hf\a8]
8347  0x000a4834 0x100a5434 4   5    .text   ascii   E$UH
8348  0x000a4929 0x100a5529 4   5    .text   ascii   $AAM
8349  0x000a492e 0x100a552e 4   5    .text   ascii   uA8I
8350  0x000a4978 0x100a5578 5   7    .text   utf8    ̍HHWU blocks=Combining Diacritical Marks,Basic Latin
8351  0x000a4a34 0x100a5634 4   5    .text   ascii   HLHf
8352  0x000a4a53 0x100a5653 6   7    .text   ascii   )HDHBH
8353  0x000a4a79 0x100a5679 4   5    .text   ascii   ]HAr
8354  0x000a4ab6 0x100a56b6 5   6    .text   ascii   CEDO\t
8355  0x000a4b34 0x100a5734 4   6    .text   utf8    MPHČ blocks=Basic Latin,Latin Extended-A
8356  0x000a4b4c 0x100a574c 5   6    .text   ascii   L$$W\f
8357  0x000a4b78 0x100a5778 4   5    .text   ascii   {Dt|
8358  0x000a4b9d 0x100a579d 4   5    .text   ascii   fHHH
8359  0x000a4c5f 0x100a585f 4   5    .text   ascii   DHpH
8360  0x000a4cde 0x100a58de 4   5    .text   ascii   sHvG
8361  0x000a4ce8 0x100a58e8 4   5    .text   ascii   H|\bH
8362  0x000a4d1b 0x100a591b 5   7    .text   utf8    0 DփL blocks=Basic Latin,Armenian
8363  0x000a4d2d 0x100a592d 4   5    .text   ascii   l$Ia
8364  0x000a4d34 0x100a5934 5   6    .text   ascii   AHH\nH
8365  0x000a4db0 0x100a59b0 4   5    .text   ascii   ">LL
8366  0x000a4dc1 0x100a59c1 5   6    .text   ascii   ($/eN
8367  0x000a4e0d 0x100a5a0d 4   5    .text   ascii   3';h
8368  0x000a4e27 0x100a5a27 4   5    .text   ascii   f4Hu
8369  0x000a4e41 0x100a5a41 4   5    .text   ascii   HI;h
8370  0x000a4e76 0x100a5a76 4   5    .text   ascii   1PH\b
8371  0x000a4ebf 0x100a5abf 4   5    .text   ascii   3HU^
8372  0x000a4f4e 0x100a5b4e 4   6    .text   utf8    U\vIȋ blocks=Basic Latin,Latin Extended-B
8373  0x000a4f6b 0x100a5b6b 5   6    .text   ascii   LxA\bH
8374  0x000a4fa1 0x100a5ba1 4   5    .text   ascii   U0)N
8375  0x000a4fb2 0x100a5bb2 4   5    .text   ascii   `u\bf
8376  0x000a4ff8 0x100a5bf8 5   6    .text   ascii   FHLH3
8377  0x000a503d 0x100a5c3d 8   9    .text   ascii   L$PLh\bA$
8378  0x000a50a5 0x100a5ca5 4   5    .text   ascii   H su
8379  0x000a50ab 0x100a5cab 4   5    .text   ascii   \rIM$
8380  0x000a51b4 0x100a5db4 4   5    .text   ascii   !_\r`
8381  0x000a51e3 0x100a5de3 4   6    .text   utf8    3EHŋ blocks=Basic Latin,Latin Extended-A
8382  0x000a51f4 0x100a5df4 6   8    .text   utf8    XċIxuH blocks=Basic Latin,Latin Extended-A
8383  0x000a5216 0x100a5e16 4   5    .text   ascii   JH8t
8384  0x000a5235 0x100a5e35 5   7    .text   utf8    hHHHɋ blocks=Basic Latin,Latin Extended-B
8385  0x000a525e 0x100a5e5e 5   7    .text   utf8    GE8\bH
8386  0x000a528b 0x100a5e8b 4   6    .text   utf8    ݴ;Wu blocks=Arabic Supplement,Basic Latin
8387  0x000a52b0 0x100a5eb0 4   6    .text   utf8    DH;ˍ blocks=Basic Latin,Spacing Modifier Letters
8388  0x000a52e0 0x100a5ee0 4   6    .text   utf8    HČr  blocks=Basic Latin,Latin Extended-A
8389  0x000a531e 0x100a5f1e 4   5    .text   ascii   u$$$
8390  0x000a5333 0x100a5f33 5   7    .text   utf8    HIYqA
8391  0x000a53f9 0x100a5ff9 4   5    .text   ascii   BQI\n
8392  0x000a541d 0x100a601d 5   7    .text   utf8    Dсtt\r blocks=Basic Latin,Cyrillic
8393  0x000a5463 0x100a6063 4   5    .text   ascii   DE@Q
8394  0x000a5537 0x100a6137 6   8    .text   utf8    DΈE,R\b blocks=Basic Latin,Greek and Coptic
8395  0x000a55bd 0x100a61bd 4   6    .text   utf8    LpAt
8396  0x000a55d5 0x100a61d5 5   7    .text   utf8    ̯H{t\b blocks=Combining Diacritical Marks,Basic Latin
8397  0x000a5601 0x100a6201 4   5    .text   ascii   ;GXL
8398  0x000a5644 0x100a6244 4   5    .text   ascii   Hyuu
8399  0x000a565a 0x100a625a 4   5    .text   ascii   $$HH
8400  0x000a5665 0x100a6265 4   5    .text   ascii   OHA$
8401  0x000a567f 0x100a627f 4   6    .text   utf8    ̘t\bM blocks=Combining Diacritical Marks,Basic Latin
8402  0x000a569a 0x100a629a 4   5    .text   ascii   \rIIM
8403  0x000a56a8 0x100a62a8 4   5    .text   ascii   KIa{
8404  0x000a570d 0x100a630d 5   6    .text   ascii   HHL(7
8405  0x000a581f 0x100a641f 4   5    .text   ascii   \bH+H
8406  0x000a582f 0x100a642f 5   6    .text   ascii   \aHIJH
8407  0x000a5845 0x100a6445 4   5    .text   ascii   \$HC
8408  0x000a5880 0x100a6480 4   5    .text   ascii   \a~:L
8409  0x000a589c 0x100a649c 5   6    .text   ascii   I$ 93
8410  0x000a58b4 0x100a64b4 4   5    .text   ascii   $EH<
8411  0x000a58c8 0x100a64c8 4   5    .text   ascii   H$D0
8412  0x000a594b 0x100a654b 4   5    .text   ascii   tHkc
8413  0x000a5962 0x100a6562 6   7    .text   ascii   Hc]E\aH
8414  0x000a5adf 0x100a66df 6   7    .text   ascii   P\b3|hO
8415  0x000a5b36 0x100a6736 5   6    .text   ascii   \aH I{
8416  0x000a5b40 0x100a6740 4   5    .text   ascii   8\bHt
8417  0x000a5b76 0x100a6776 5   6    .text   ascii   HXHxM
8418  0x000a5cd7 0x100a68d7 4   6    .text   utf8    \b0ѷu blocks=Basic Latin,Cyrillic
8419  0x000a5d29 0x100a6929 4   5    .text   ascii   \aH$q
8420  0x000a5e09 0x100a6a09 4   5    .text   ascii   k(3D
8421  0x000a5e4f 0x100a6a4f 5   6    .text   ascii   $'H$H
8422  0x000a5e66 0x100a6a66 4   5    .text   ascii   \n\aHH
8423  0x000a5e86 0x100a6a86 4   5    .text   ascii   (FH&
8424  0x000a5e8d 0x100a6a8d 4   6    .text   utf8    ̋H6H blocks=Combining Diacritical Marks,Basic Latin
8425  0x000a5ec9 0x100a6ac9 4   6    .text   utf8    ̄I\aL blocks=Combining Diacritical Marks,Basic Latin
8426  0x000a5eda 0x100a6ada 4   5    .text   ascii   fHDA
8427  0x000a5f6a 0x100a6b6a 6   8    .text   utf8    E\vIH̎H blocks=Basic Latin,Combining Diacritical Marks
8428  0x000a5fc1 0x100a6bc1 4   5    .text   ascii   WDHH
8429  0x000a613e 0x100a6d3e 4   5    .text   ascii   $ H9
8430  0x000a6157 0x100a6d57 8   10   .text   utf8    0uj0MEIH
8431  0x000a6243 0x100a6e43 4   5    .text   ascii   AHur
8432  0x000a624f 0x100a6e4f 4   5    .text   ascii   MI\aH
8433  0x000a62c2 0x100a6ec2 8   9    .text   ascii   EfukHs\bH
8434  0x000a62d1 0x100a6ed1 6   7    .text   ascii   0\bIH\v\b
8435  0x000a6317 0x100a6f17 6   7    .text   ascii   \n$H \fH
8436  0x000a6335 0x100a6f35 4   6    .text   utf8    DƉ\vH blocks=Basic Latin,Latin Extended-B
8437  0x000a6363 0x100a6f63 4   6    .text   utf8    \fHĀ blocks=Basic Latin,Combining Diacritical Marks
8438  0x000a63b5 0x100a6fb5 8   18   .text   utf16le @3Ð䰋佅覍䠀栤 blocks=Basic Latin,Latin-1 Supplement,CJK Unified Ideographs Extension A,CJK Unified Ideographs
8439  0x000a63d2 0x100a6fd2 4   6    .text   utf8    HM ̋ blocks=Basic Latin,Combining Diacritical Marks
8440  0x000a63e5 0x100a6fe5 4   5    .text   ascii   z{DH
8441  0x000a641b 0x100a701b 4   5    .text   ascii   D\ff\n
8442  0x000a643a 0x100a703a 4   5    .text   ascii   H\fP$
8443  0x000a6492 0x100a7092 5   6    .text   ascii   H";(H
8444  0x000a64e6 0x100a70e6 5   6    .text   ascii   tuH=H
8445  0x000a64f3 0x100a70f3 5   6    .text   ascii   \aLHSp
8446  0x000a6525 0x100a7125 5   6    .text   ascii   HHHHH
8447  0x000a65a6 0x100a71a6 4   5    .text   ascii   D\bH@
8448  0x000a65e4 0x100a71e4 4   6    .text   utf8    t uЃ blocks=Basic Latin,Cyrillic
8449  0x000a661e 0x100a721e 4   5    .text   ascii   \bHWE
8450  0x000a6640 0x100a7240 4   6    .text   utf8    \nL̉H blocks=Basic Latin,Combining Diacritical Marks
8451  0x000a66ba 0x100a72ba 4   7    .text   utf8    ̃\f\vB blocks=Combining Diacritical Marks,Basic Latin
8452  0x000a6732 0x100a7332 4   5    .text   ascii   $HCL
8453  0x000a67bd 0x100a73bd 4   5    .text   ascii   HHP^
8454  0x000a6826 0x100a7426 5   7    .text   utf8    H3%ˋI blocks=Basic Latin,Spacing Modifier Letters
8455  0x000a683c 0x100a743c 4   7    .text   utf8    \fUH blocks=Basic Latin,Private Use Area
8456  0x000a6859 0x100a7459 4   5    .text   ascii   HHrf
8457  0x000a6887 0x100a7487 4   5    .text   ascii   E;HW
8458  0x000a68cc 0x100a74cc 4   5    .text   ascii   vH8H
8459  0x000a690f 0x100a750f 4   5    .text   ascii   VE]H
8460  0x000a69a9 0x100a75a9 5   6    .text   ascii   L+IHW
8461  0x000a6a00 0x100a7600 4   5    .text   ascii   HI$H
8462  0x000a6a0d 0x100a760d 4   5    .text   ascii   1 HD
8463  0x000a6a4e 0x100a764e 4   5    .text   ascii   D{8$
8464  0x000a6a82 0x100a7682 4   6    .text   utf8    ƪ\e*0 blocks=Latin Extended-B,Basic Latin
8465  0x000a6aa8 0x100a76a8 4   5    .text   ascii   H,@9
8466  0x000a6b21 0x100a7721 4   6    .text   utf8    H\rHH
8467  0x000a6b2c 0x100a772c 7   8    .text   ascii   HHHf(QH
8468  0x000a6b8e 0x100a778e 5   6    .text   ascii   LH|H)
8469  0x000a6bd1 0x100a77d1 4   5    .text   ascii   HHMI
8470  0x000a6be3 0x100a77e3 4   5    .text   ascii   H_$ 
8471  0x000a6bec 0x100a77ec 4   7    .text   utf8    若MEI blocks=CJK Unified Ideographs,Basic Latin
8472  0x000a6cca 0x100a78ca 4   5    .text   ascii   0 HI
8473  0x000a6d3f 0x100a793f 4   5    .text   ascii   HH@A
8474  0x000a6d76 0x100a7976 5   6    .text   ascii   $$(\fI
8475  0x000a6dad 0x100a79ad 4   5    .text   ascii   \b&H 
8476  0x000a6e33 0x100a7a33 4   5    .text   ascii   H:Ep
8477  0x000a6ed4 0x100a7ad4 5   6    .text   ascii   :t+@P
8478  0x000a6f56 0x100a7b56 4   5    .text   ascii   AX\eL
8479  0x000a6f6b 0x100a7b6b 4   5    .text   ascii    SHU
8480  0x000a6faa 0x100a7baa 4   6    .text   utf8    LQ͍H blocks=Basic Latin,Combining Diacritical Marks
8481  0x000a7036 0x100a7c36 4   6    .text   utf8    |\eډ( blocks=Basic Latin,Arabic
8482  0x000a703e 0x100a7c3e 6   8    .text   utf8    ̉Ir8At blocks=Combining Diacritical Marks,Basic Latin
8483  0x000a7072 0x100a7c72 4   5    .text   ascii   H +H
8484  0x000a70d9 0x100a7cd9 4   5    .text   ascii   iMB(
8485  0x000a70df 0x100a7cdf 4   6    .text   utf8    HH̰H blocks=Basic Latin,Combining Diacritical Marks
8486  0x000a7109 0x100a7d09 5   7    .text   utf8    H  ́P blocks=Basic Latin,Combining Diacritical Marks
8487  0x000a7128 0x100a7d28 4   5    .text   ascii   ^+Vu
8488  0x000a71c9 0x100a7dc9 4   5    .text   ascii   $HH$
8489  0x000a72ed 0x100a7eed 5   7    .text   utf8    \v0H%L
8490  0x000a7350 0x100a7f50 4   5    .text   ascii   p\rAt
8491  0x000a7366 0x100a7f66 4   5    .text   ascii   HPL\b
8492  0x000a73e0 0x100a7fe0 5   6    .text   ascii   H,\bL1
8493  0x000a7426 0x100a8026 4   5    .text   ascii   Au$N
8494  0x000a7509 0x100a8109 4   5    .text   ascii   \bHHu
8495  0x000a756a 0x100a816a 4   6    .text   utf8    0Hɋ9 blocks=Basic Latin,Latin Extended-B
8496  0x000a75ab 0x100a81ab 4   5    .text   ascii   pP\aH
8497  0x000a75c2 0x100a81c2 5   6    .text   ascii   LhIu3
8498  0x000a75df 0x100a81df 8   9    .text   ascii   HK\bHH$th
8499  0x000a7690 0x100a8290 4   6    .text   utf8     \v\a\
8500  0x000a771f 0x100a831f 4   6    .text   utf8    ȋ+'< blocks=Latin Extended-B,Basic Latin
8501  0x000a77c1 0x100a83c1 4   5    .text   ascii   IH\nx
8502  0x000a7805 0x100a8405 4   6    .text   utf8    H] ́ blocks=Basic Latin,Combining Diacritical Marks
8503  0x000a787c 0x100a847c 4   5    .text   ascii   HHK)
8504  0x000a78bb 0x100a84bb 4   5    .text   ascii   PL$H
8505  0x000a78c7 0x100a84c7 4   6    .text   utf8    Ӄ+HA blocks=Cyrillic,Basic Latin
8506  0x000a78ec 0x100a84ec 5   6    .text   ascii   HHL8K
8507  0x000a7932 0x100a8532 5   7    .text   utf8     0HɃ( blocks=Basic Latin,Latin Extended-B
8508  0x000a7954 0x100a8554 4   6    .text   utf8    mH|C
8509  0x000a7976 0x100a8576 4   7    .text   utf8    Fo;ˉ blocks=Basic Latin,Spacing Modifier Letters
8510  0x000a79da 0x100a85da 4   5    .text   ascii   H\aAH
8511  0x000a7a3b 0x100a863b 4   5    .text   ascii   HI\M
8512  0x000a7a52 0x100a8652 5   7    .text   utf8    t]ȦUH blocks=Basic Latin,Latin Extended-B
8513  0x000a7a90 0x100a8690 5   6    .text   ascii   AlHHI
8514  0x000a7aae 0x100a86ae 5   6    .text   ascii   I\t8|X
8515  0x000a7ad6 0x100a86d6 4   6    .text   utf8    CϋU\e blocks=Basic Latin,Greek and Coptic
8516  0x000a7ae2 0x100a86e2 5   6    .text   ascii   @E\vHL
8517  0x000a7af7 0x100a86f7 4   5    .text   ascii   ;\$H
8518  0x000a7b27 0x100a8727 4   6    .text   utf8    u\bH\v
8519  0x000a7b35 0x100a8735 4   5    .text   ascii   $}H\e
8520  0x000a7b3c 0x100a873c 4   5    .text   ascii   8HUH
8521  0x000a7b4f 0x100a874f 4   5    .text   ascii    h\bH
8522  0x000a7b69 0x100a8769 4   5    .text   ascii   \vH_H
8523  0x000a7be2 0x100a87e2 5   7    .text   utf8    &HH A
8524  0x000a7c54 0x100a8854 4   7    .text   utf8    $I耋@ blocks=Basic Latin,CJK Unified Ideographs
8525  0x000a7cac 0x100a88ac 4   5    .text   ascii   vHD$
8526  0x000a7d15 0x100a8915 5   6    .text   ascii   f+ApD
8527  0x000a7d48 0x100a8948 4   5    .text   ascii   HH\eP
8528  0x000a7df7 0x100a89f7 4   5    .text   ascii   HD]T
8529  0x000a7e51 0x100a8a51 5   6    .text   ascii   E,HIL
8530  0x000a7f04 0x100a8b04 4   6    .text   utf8    ``ɋu blocks=Basic Latin,Latin Extended-B
8531  0x000a7f22 0x100a8b22 4   5    .text   ascii   =M(e
8532  0x000a7f81 0x100a8b81 4   6    .text   utf8    LHL{
8533  0x000a7f91 0x100a8b91 4   6    .text   utf8    W̄L( blocks=Basic Latin,Combining Diacritical Marks
8534  0x000a8022 0x100a8c22 4   5    .text   ascii   H\rM$
8535  0x000a809e 0x100a8c9e 4   5    .text   ascii   IH I
8536  0x000a80e2 0x100a8ce2 6   7    .text   ascii   fH/THD
8537  0x000a819a 0x100a8d9a 4   5    .text   ascii   H,LM
8538  0x000a8204 0x100a8e04 4   5    .text   ascii   HLHf
8539  0x000a8217 0x100a8e17 5   6    .text   ascii   \t`ttE
8540  0x000a829d 0x100a8e9d 5   6    .text   ascii   LEHEH
8541  0x000a82b3 0x100a8eb3 4   5    .text   ascii   X$0H
8542  0x000a8316 0x100a8f16 4   5    .text   ascii   jAH\b
8543  0x000a8387 0x100a8f87 5   7    .text   utf8    ɁxLH, blocks=Latin Extended-B,Basic Latin
8544  0x000a8410 0x100a9010 5   7    .text   utf8    FK\r¨G blocks=Basic Latin,Latin-1 Supplement
8545  0x000a84b1 0x100a90b1 6   8    .text   utf8    HWUB̋& blocks=Basic Latin,Combining Diacritical Marks
8546  0x000a84ec 0x100a90ec 5   6    .text   ascii   \0HWI
8547  0x000a8597 0x100a9197 5   6    .text   ascii   $}D_D
8548  0x000a85a0 0x100a91a0 5   6    .text   ascii   l8$FM
8549  0x000a85b9 0x100a91b9 5   7    .text   utf8    pSWH̅ blocks=Basic Latin,Combining Diacritical Marks
8550  0x000a8613 0x100a9213 4   6    .text   utf8    \t.($
8551  0x000a8674 0x100a9274 6   7    .text   ascii   \nHx|H9
8552  0x000a8696 0x100a9296 6   9    .text   utf8    \n ֽ\E$ blocks=Basic Latin,Hebrew
8553  0x000a86d6 0x100a92d6 4   5    .text   ascii   HAEA
8554  0x000a8781 0x100a9381 4   5    .text   ascii   s td
8555  0x000a8789 0x100a9389 4   5    .text   ascii    HHP
8556  0x000a87d2 0x100a93d2 4   6    .text   utf8    Lt=̉ blocks=Basic Latin,Combining Diacritical Marks
8557  0x000a882a 0x100a942a 4   5    .text   ascii   'f^ 
8558  0x000a8858 0x100a9458 5   7    .text   utf8    EdݑHA blocks=Basic Latin,Arabic Supplement
8559  0x000a88b7 0x100a94b7 5   6    .text   ascii   [^$dD
8560  0x000a896f 0x100a956f 5   6    .text   ascii   I8\bA\b
8561  0x000a89c5 0x100a95c5 4   5    .text   ascii   \9HH
8562  0x000a8a0e 0x100a960e 6   7    .text   ascii   $}HpH\b
8563  0x000a8a26 0x100a9626 4   5    .text   ascii   'pHA
8564  0x000a8a5c 0x100a965c 4   5    .text   ascii   h\vU;
8565  0x000a8a68 0x100a9668 4   5    .text   ascii   @FFW
8566  0x000a8a7a 0x100a967a 6   8    .text   utf8    $͠H@ H blocks=Basic Latin,Combining Diacritical Marks
8567  0x000a8abb 0x100a96bb 8   9    .text   ascii   .5vH0tA@
8568  0x000a8b14 0x100a9714 4   5    .text   ascii   HA7t
8569  0x000a8b3c 0x100a973c 4   5    .text   ascii   HrtM
8570  0x000a8b74 0x100a9774 5   7    .text   utf8     3\v\vЅ blocks=Basic Latin,Cyrillic
8571  0x000a8ccc 0x100a98cc 6   7    .text   ascii   D`$$Hp
8572  0x000a8cf2 0x100a98f2 4   6    .text   utf8    w,Iċ blocks=Basic Latin,Latin Extended-A
8573  0x000a8d04 0x100a9904 5   6    .text   ascii   ES H`
8574  0x000a8d49 0x100a9949 5   6    .text   ascii   DIHHZ
8575  0x000a8d6a 0x100a996a 4   5    .text   ascii   HHSf
8576  0x000a8d88 0x100a9988 4   5    .text   ascii   _DIH
8577  0x000a8db7 0x100a99b7 4   5    .text   ascii   `0=H
8578  0x000a8dbf 0x100a99bf 4   5    .text   ascii   3`(M
8579  0x000a8e2e 0x100a9a2e 4   7    .text   utf8    Ptr㋍ blocks=Basic Latin,Enclosed CJK Letters and Months
8580  0x000a8e51 0x100a9a51 5   6    .text   ascii   EGWOD
8581  0x000a8e70 0x100a9a70 4   5    .text   ascii   |M'4
8582  0x000a8e95 0x100a9a95 7   8    .text   ascii   Dj \MEH
8583  0x000a8ee6 0x100a9ae6 4   5    .text   ascii   -HfH
8584  0x000a8f2e 0x100a9b2e 4   5    .text   ascii   H$<A
8585  0x000a8f39 0x100a9b39 4   5    .text   ascii   DHf\
8586  0x000a8f51 0x100a9b51 4   5    .text   ascii   lX$I
8587  0x000a8f74 0x100a9b74 4   5    .text   ascii   ;HHH
8588  0x000a8fba 0x100a9bba 6   8    .text   utf8    L$b̅;0 blocks=Basic Latin,Combining Diacritical Marks
8589  0x000a8fd0 0x100a9bd0 6   8    .text   utf8    rD[C=$
8590  0x000a8ffd 0x100a9bfd 4   5    .text   ascii   yH\bH
8591  0x000a90a0 0x100a9ca0 4   7    .text   utf8    HN=뉍 blocks=Basic Latin,Hangul Syllables
8592  0x000a90bf 0x100a9cbf 4   5    .text   ascii   P_HH
8593  0x000a90c4 0x100a9cc4 4   5    .text   ascii   r%H\a
8594  0x000a90db 0x100a9cdb 4   5    .text   ascii   HkHp
8595  0x000a918f 0x100a9d8f 6   7    .text   ascii   E|?0H3
8596  0x000a9245 0x100a9e45 4   5    .text   ascii   rA\a^
8597  0x000a9341 0x100a9f41 4   6    .text   utf8    FE-Q
8598  0x000a935f 0x100a9f5f 4   5    .text   ascii    \av-
8599  0x000a938d 0x100a9f8d 6   9    .text   utf8    A遍rP H blocks=Basic Latin,CJK Unified Ideographs
8600  0x000a93e9 0x100a9fe9 4   6    .text   utf8    ̍\f L blocks=Combining Diacritical Marks,Basic Latin
8601  0x000a956f 0x100aa16f 4   6    .text   utf8    z+Ut
8602  0x000a95b2 0x100aa1b2 6   7    .text   ascii   ~uHwLy
8603  0x000a9627 0x100aa227 5   7    .text   utf8    t$H ̋ blocks=Basic Latin,Combining Diacritical Marks
8604  0x000a963a 0x100aa23a 6   8    .text   utf8    AL\b0̋  blocks=Basic Latin,Combining Diacritical Marks
8605  0x000a9646 0x100aa246 5   7    .text   utf8    p(ˉIH blocks=Basic Latin,Spacing Modifier Letters
8606  0x000a9658 0x100aa258 5   6    .text   ascii   @PH\bD
8607  0x000a9682 0x100aa282 4   5    .text   ascii   TDyE
8608  0x000a96a1 0x100aa2a1 5   6    .text   ascii   \bEHh8
8609  0x000a96ac 0x100aa2ac 4   5    .text   ascii   D{HA
8610  0x000a96cb 0x100aa2cb 4   5    .text   ascii   H$;<
8611  0x000a9772 0x100aa372 4   6    .text   utf8     \bHΟ blocks=Basic Latin,Greek and Coptic
8612  0x000a97ea 0x100aa3ea 5   6    .text   ascii   HLIti
8613  0x000a9812 0x100aa412 4   5    .text   ascii   Htu.
8614  0x000a982d 0x100aa42d 4   5    .text   ascii   $$(D
8615  0x000a984c 0x100aa44c 4   6    .text   utf8    $rtЋ blocks=Basic Latin,Cyrillic
8616  0x000a9956 0x100aa556 5   7    .text   utf8    \aIȋII blocks=Basic Latin,Latin Extended-B
8617  0x000a9985 0x100aa585 5   7    .text   utf8    HΪ H$ blocks=Basic Latin,Greek and Coptic
8618  0x000a99fb 0x100aa5fb 4   5    .text   ascii   JH$ 
8619  0x000a9a1c 0x100aa61c 4   5    .text   ascii   vfHH
8620  0x000a9aa9 0x100aa6a9 4   5    .text   ascii   ]IDH
8621  0x000a9ac4 0x100aa6c4 4   5    .text   ascii   u$D 
8622  0x000a9adc 0x100aa6dc 4   5    .text   ascii   DA 0
8623  0x000a9af3 0x100aa6f3 4   6    .text   utf8    H̋W\v blocks=Basic Latin,Combining Diacritical Marks
8624  0x000a9b73 0x100aa773 5   6    .text   ascii   u\r$, 
8625  0x000a9ba2 0x100aa7a2 5   6    .text   ascii   Ek@ML
8626  0x000a9bfd 0x100aa7fd 4   5    .text   ascii   H\ ^
8627  0x000a9c3d 0x100aa83d 4   5    .text   ascii   HThH
8628  0x000a9c62 0x100aa862 4   5    .text   ascii   PHH,
8629  0x000a9c71 0x100aa871 4   5    .text   ascii   Ur:D
8630  0x000a9ce6 0x100aa8e6 4   7    .text   utf8    踋He; blocks=CJK Unified Ideographs,Basic Latin
8631  0x000a9ced 0x100aa8ed 4   5    .text   ascii   HH-H
8632  0x000a9d0a 0x100aa90a 5   6    .text   ascii   H(;,T
8633  0x000a9d34 0x100aa934 4   5    .text   ascii   \a$H$
8634  0x000a9d61 0x100aa961 4   5    .text   ascii   ID+L
8635  0x000a9d67 0x100aa967 4   5    .text   ascii   LHH+
8636  0x000a9da0 0x100aa9a0 5   6    .text   ascii   A#Afu
8637  0x000a9db1 0x100aa9b1 5   7    .text   utf8    H;H̻t blocks=Basic Latin,Combining Diacritical Marks
8638  0x000a9dbc 0x100aa9bc 4   5    .text   ascii   8\tHH
8639  0x000a9dd2 0x100aa9d2 4   6    .text   utf8    0\ṽ$ blocks=Basic Latin,Combining Diacritical Marks
8640  0x000a9e1a 0x100aaa1a 4   5    .text   ascii   uMH^
8641  0x000a9e2d 0x100aaa2d 4   6    .text   utf8    H+\bč blocks=Basic Latin,Latin Extended-A
8642  0x000a9e6b 0x100aaa6b 5   7    .text   utf8    0r:\aË blocks=Basic Latin,Latin-1 Supplement
8643  0x000a9ecf 0x100aaacf 5   7    .text   utf8    ˋL@\vH blocks=Spacing Modifier Letters,Basic Latin
8644  0x000a9efe 0x100aaafe 4   5    .text   ascii   4H\ft
8645  0x000a9f8b 0x100aab8b 4   5    .text   ascii   BH}f
8646  0x000a9fb8 0x100aabb8 4   5    .text   ascii   l3LH
8647  0x000aa058 0x100aac58 4   5    .text   ascii   H C@
8648  0x000aa074 0x100aac74 5   6    .text   ascii   HH' H
8649  0x000aa24a 0x100aae4a 5   6    .text   ascii   3H4HL
8650  0x000aa27a 0x100aae7a 7   8    .text   ascii   {HL(A$H
8651  0x000aa2c2 0x100aaec2 4   5    .text   ascii   \r\rBP
8652  0x000aa315 0x100aaf15 4   5    .text   ascii   L~H;
8653  0x000aa3c2 0x100aafc2 4   5    .text   ascii   PHUH
8654  0x000aa3da 0x100aafda 4   5    .text   ascii   $H;8
8655  0x000aa417 0x100ab017 5   6    .text   ascii   HKH`|
8656  0x000aa518 0x100ab118 4   5    .text   ascii   PW$L
8657  0x000aa551 0x100ab151 4   5    .text   ascii   H$ (
8658  0x000aa56d 0x100ab16d 4   5    .text   ascii   @I H
8659  0x000aa593 0x100ab193 6   7    .text   ascii   M\f\e^FH
8660  0x000aa5a3 0x100ab1a3 4   5    .text   ascii   7W5F
